PWSID,PWSID_URL,ac_address,ac_addressURL,ac_phone1Type,ac_phone1,ac_phone2Type,ac_phone2,ac_email,ac2_address,ac2_addressURL,ac2_phone1Type,ac2_phone1,ac2_phone2Type,ac2_phone2,ac2_email,pl_address,pl_addressURL,pl_phone1Type,pl_phone1,pl_phone2Type,pl_phone2,pl_email,pl2_address,pl2_addressURL,pl2_phone1Type,pl2_phone1,pl2_phone2Type,pl2_phone2,pl2_email,healthDistrictName,healthDistrictPhone,healthDistrictEmail,healthDistrictAddress
CA5000082   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=7341&tinwsys_st_code=CA&wsnumber=CA5000082   ,"PO BOX 850

	
	

	
    
    
    

	DANVILLE,CA96452",http://maps.google.com/maps?q=PO BOX 850  DANVILLE CA 96452,Business,925-766-8109   ,,,,,,,,,,,CA5000082-4N MOBILEHOME PARK,,,,,,,,,,,,,,LPA80 - STANISLAUS COUNTY,"
   
	
	  
      209-525-6700   
   	 
     
    ",rariess@envres.org ,"3800 Cornucopia Way, Ste. C 

    
    MODESTO 
    CA 95358"
CA5000573   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=7303&tinwsys_st_code=CA&wsnumber=CA5000573   ,"1500  STANDIFORD AVE., BLDG D

	
	

	
    
    
    

	MODESTO,CA95350","http://maps.google.com/maps?q=1500  STANDIFORD AVE., BLDG D  MODESTO CA 95350",Business,209-511-7235   ,,,,,,,,,,,CA5000573-5033 PENTECOST,,,,,,,,,,,,,,LPA80 - STANISLAUS COUNTY,"
   
	
	  
      209-525-6700   
   	 
     
    ",rariess@envres.org ,"3800 Cornucopia Way, Ste. C 

    
    MODESTO 
    CA 95358"
CA1502744   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=1599&tinwsys_st_code=CA&wsnumber=CA1502744   ,"5836 HIDDEN TRAIL RD.

	
	

	
    
    
    

	ROSAMOND,CA93560",http://maps.google.com/maps?q=5836 HIDDEN TRAIL RD.  ROSAMOND CA 93560,Business,661-204-3792   ,,,,,,,,,,,CA1502744-60TH STREET ASSOC. WATER SYSTE,,,,,,,,,,,,,,DISTRICT 19 - TEHACHAPI,"
   
	
	  
      661-335-7315   
   	 
     
    ",dwpdist19@waterboards.ca.gov ,"4925 COMMERCE DRIVE, SUITE 120 

    
    BAKERSFIELD 
    CA 93309"
CA3400358   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=7884&tinwsys_st_code=CA&wsnumber=CA3400358   ,"11111 SANTA MONICA BLVD

	
	

	
    
    
    

	LOS ANGELES,CA90025",http://maps.google.com/maps?q=11111 SANTA MONICA BLVD  LOS ANGELES CA 90025,Business,916-759-7480   ,,,,,,,,,,,CA3400358-CAMPBELL SOUP COMPANY,,,,,,,,,,,,,,LPA64 - SACRAMENTO COUNTY,"
   
	
	  
      916-875-8550   
   	 
     
    ",EMDInfo@saccounty.net ,"10590 Armstrong Ave 

    
    MATHER 
    CA 95655"
CA3400204   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=7859&tinwsys_st_code=CA&wsnumber=CA3400204   ,"6236 MAHALA DR

	
	

	
    
    
    

	CARMICHAEL,CA95608",http://maps.google.com/maps?q=6236 MAHALA DR  CARMICHAEL CA 95608,Business,916-229-3258   ,,,,,,,,,,,CA3400204-7042 FOLSOM LLC WATER SYSTEM,,,,,,,,,,,,,,LPA64 - SACRAMENTO COUNTY,"
   
	
	  
      916-875-8550   
   	 
     
    ",EMDInfo@saccounty.net ,"10590 Armstrong Ave 

    
    MATHER 
    CA 95655"
CA5400679   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=6532&tinwsys_st_code=CA&wsnumber=CA5400679   ,"26442 NORTH HIGHWAY 99

	
	

	
    
    
    

	TULARE,CA93274",http://maps.google.com/maps?q=26442 NORTH HIGHWAY 99  TULARE CA 93274,Business,559-688-0501   ,,,,,,,,,,,CA5400679-MOTEL 99,,,,,,,,,,,,,,DISTRICT 24 - TULARE,"
   
	
	  
      559-447-3300   
   	 
     
    ",dwpdist24@waterboards.ca.gov ,"265 W. BULLARD AVE., SUITE 101 

    
    FRESNO 
    CA 93704"
CA5000384   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=7393&tinwsys_st_code=CA&wsnumber=CA5000384   ,"5512  BLUE GUM AVE

	
	

	
    
    
    

	MODESTO,CA95358",http://maps.google.com/maps?q=5512  BLUE GUM AVE  MODESTO CA 95358,Business,209-996-1640   ,,,,,,,,,,,CA5000384-A & M INDUSTRIES,,,,,,,,,,,,,,LPA80 - STANISLAUS COUNTY,"
   
	
	  
      209-525-6700   
   	 
     
    ",rariess@envres.org ,"3800 Cornucopia Way, Ste. C 

    
    MODESTO 
    CA 95358"
CA5400504   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=7517&tinwsys_st_code=CA&wsnumber=CA5400504   ,"3511 Del Paso Road #160/147

	
	

	
    
    
    

	SACRAMENTO,CA95835",http://maps.google.com/maps?q=3511 Del Paso Road #160/147  SACRAMENTO CA 95835,Business,530-282-5385   ,,,,,,,,,,,CA5400504-A & A  MHP,,,,,,,,,,,,,,DISTRICT 24 - TULARE,"
   
	
	  
      559-447-3300   
   	 
     
    ",dwpdist24@waterboards.ca.gov ,"265 W. BULLARD AVE., SUITE 101 

    
    FRESNO 
    CA 93704"
CA3902172   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=14254&tinwsys_st_code=CA&wsnumber=CA3902172   ,"8077 N TULLY RD

	
	

	
    
    
    

	LINDEN,CA95236",http://maps.google.com/maps?q=8077 N TULLY RD  LINDEN CA 95236,,,,,,,,,,,,,CA3902172-A SAMBADO & SON 39-321,,,,,,,,,,,,,,LPA69 - SAN JOAQUIN COUNTY,"
   
	
	  
      209-468-0343   
   	 
     
    ",aellsaesser@sjcehd.com ,"1868 East Hazelton Ave 

    
    STOCKTON 
    CA 95205"
CA2400232   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=14250&tinwsys_st_code=CA&wsnumber=CA2400232   ,"2900 SULTANA DR.

	
	

	
    
    
    

	ATWATER,CA95301",http://maps.google.com/maps?q=2900 SULTANA DR.  ATWATER CA 95301,Business,209-394-7514   ,,,,,,,,,,,"CA2400232-A V THOMAS PRODUCE, INC.",,,,,,,,,,,,,,DISTRICT 11 - MERCED,"
   
	
	  
      559-447-3300   
   	 
     
    ",dwpdist11@waterboards.ca.gov ,"265 W. BULLARD AVE., SUITE 101 

    
    FRESNO 
    CA 93720"
CA1200776   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=1115&tinwsys_st_code=CA&wsnumber=CA1200776   ,"1106 2nd St.

	
	

	
    
    
    

	EUREKA,CA95501",http://maps.google.com/maps?q=1106 2nd St.  EUREKA CA 95501,Business,707-839-2086   ,,,,,,,,,,,"ZACK LITTLETON, RESIDENT PARK CARETA",,Business,707-629-3207   ,,,,,,,,,,,DISTRICT 01 - KLAMATH,"
   
	
	  
      530-224-4800   
   	 
     
    ",,"364 Knollcrest Dr. Suite 101 

    
    REDDING 
    CA 96002"
CA1500466   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=1342&tinwsys_st_code=CA&wsnumber=CA1500466   ,"P.O. BOX 1384

	
	

	
    
    
    

	TEHACHAPI,CA93561",http://maps.google.com/maps?q=P.O. BOX 1384  TEHACHAPI CA 93561,Business,661-822-3266   ,,,,,,,,,,,CA1500466-A.F.P. MUTUAL WATER COMPANY,,,,,,,,,,,,,,DISTRICT 19 - TEHACHAPI,"
   
	
	  
      661-335-7315   
   	 
     
    ",dwpdist19@waterboards.ca.gov ,"4925 COMMERCE DRIVE, SUITE 120 

    
    BAKERSFIELD 
    CA 93309"
CA3900606   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=6368&tinwsys_st_code=CA&wsnumber=CA3900606   ,"3460 S. HWY 99, SPACE 1

	
	

	
    
    
    

	STOCKTON,CA95215","http://maps.google.com/maps?q=3460 S. HWY 99, SPACE 1  STOCKTON CA 95215",Business,209-547-9820   ,,,,,,,,,,,CA3900606-A1 WINSTONS MOBILE HOME PARK,,,,,,,,,,,,,,LPA69 - SAN JOAQUIN COUNTY,"
   
	
	  
      209-468-0343   
   	 
     
    ",aellsaesser@sjcehd.com ,"1868 East Hazelton Ave 

    
    STOCKTON 
    CA 95205"
CA4200969   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=14957&tinwsys_st_code=CA&wsnumber=CA4200969   ,"3811 Dominion Rd

	
	

	
    
    
    

	SANTA MARIA,CA93454",http://maps.google.com/maps?q=3811 Dominion Rd  SANTA MARIA CA 93454,Business,805-709-1759   ,,,,,,,,,,,,,,,,,,,,,,,,,LPA72 - SANTA BARBARA COUNTY,"
   
	
	  
      805-346-8466   
   	 
     
    ",belinda.huy@sbcphd.org ,"2125 Centerpointe Parkway 

    Room 333,

    SANTA MARIA 
    CA 93455"
CA5200559   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=8166&tinwsys_st_code=CA&wsnumber=CA5200559   ,"26240 7TH ST

	
	

	
    
    
    

	VINA,CA96092",http://maps.google.com/maps?q=26240 7TH ST  VINA CA 96092,,,,,,,,,,,,,CA5200559-ABBEY OF NEW CLAIRVAUX,,,,,,,,,,,,,,LPA82 - TEHAMA COUNTY,"
   
	
	  
      530-527-8020   
   	 
     
    ",tbranton@co.tehama.ca.us ,"633 Washington Street Rm. 36 

    
    RED BLUFF 
    CA 96080"
CA1400020   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=10373&tinwsys_st_code=CA&wsnumber=CA1400020   ,"150 TINNEMAHA RD #106

	
	

	
    
    
    

	INDEPENDENCE,CA93526",http://maps.google.com/maps?q=150 TINNEMAHA RD #106  INDEPENDENCE CA 93526,Business,760-258-6817   ,,,,,,,,,,,CA1400020-ABERDEEN WATER SYSTEM,,,,,,,,,,,,,,LPA44 - INYO COUNTY,"
   
	
	  
      760-873-7865   
   	 
     
    ",kbarton@inyocounty.us ,"207 W. South Street 

    
    BISHOP 
    CA 93514"
CA4300792   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=4272&tinwsys_st_code=CA&wsnumber=CA4300792   ,"3870 Aborn Road

	
	

	
    
    
    

	SAN JOSE,CA95135",http://maps.google.com/maps?q=3870 Aborn Road  SAN JOSE CA 95135,,,,,,,,,,,,,CA4300792-ABORN HEIGHTS WATER MUTUAL ASS,,,,,,,,,,,,,,DISTRICT 17 - SANTA CLARA,"
   
	
	  
      510-620-3474   
   	 
     
    ",,"850 MARINA BAY PARKWAY 

    
    RICHMOND 
    CA 94804-6403"
CA4700542   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=4533&tinwsys_st_code=CA&wsnumber=CA4700542   ,"621 Quinan St. Suite A

	
	

	
    
    
    

	PINOLE,CA94564",http://maps.google.com/maps?q=621 Quinan St. Suite A  PINOLE CA 94564,Business,925-207-2514   ,,,,,,,,,,,CA4700542-ABRAMS LAKE MOBILE ESTATES,,Business,530-926-2312   ,,,,"MIKE BURTS, MANAGER",,Business,530-938-4553   ,,,caloremobile@gmail.com,DISTRICT 01 - KLAMATH,"
   
	
	  
      530-224-4800   
   	 
     
    ",,"364 Knollcrest Dr. Suite 101 

    
    REDDING 
    CA 96002"
CA3901303   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=7256&tinwsys_st_code=CA&wsnumber=CA3901303   ,"1702 E. Scotts Ave.

	
	

	
    
    
    

	STOCKTON,CA95205",http://maps.google.com/maps?q=1702 E. Scotts Ave.  STOCKTON CA 95205,Business,209-468-3090   ,,,,,,,,,,,CA3901303-ACAMPO WATER SYSTEM,,,,,,,,,,,,,,LPA69 - SAN JOAQUIN COUNTY,"
   
	
	  
      209-468-0343   
   	 
     
    ",aellsaesser@sjcehd.com ,"1868 East Hazelton Ave 

    
    STOCKTON 
    CA 95205"
CA5400538   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=13743&tinwsys_st_code=CA&wsnumber=CA5400538   ,"426 NORTH BLACKSTONE

	
	

	
    
    
    

	TULARE,CA93274",http://maps.google.com/maps?q=426 NORTH BLACKSTONE  TULARE CA 93274,Business,559-688-2021   EXT. 242  ,,,,,,,,,,,CA5400538-TCOVE,,,,,,,,,,,,,,DISTRICT 24 - TULARE,"
   
	
	  
      559-447-3300   
   	 
     
    ",dwpdist24@waterboards.ca.gov ,"265 W. BULLARD AVE., SUITE 101 

    
    FRESNO 
    CA 93704"
CA5301013   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=5794&tinwsys_st_code=CA&wsnumber=CA5301013   ,"1711 South Main St.

	
	

	
    
    
    

	YREKA,CA96097",http://maps.google.com/maps?q=1711 South Main St.  YREKA CA 96097,Business,530-226-2316   ,,,,,,,,,,,CA5301013-ACKERMAN CAMPGROUND,,,,,,,,,,,,,,DISTRICT 01 - KLAMATH,"
   
	
	  
      530-224-4800   
   	 
     
    ",,"364 Knollcrest Dr. Suite 101 

    
    REDDING 
    CA 96002"
CA3400352   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=7826&tinwsys_st_code=CA&wsnumber=CA3400352   ,"5800 STOCKTON BLVD

	
	

	
    
    
    

	SACRAMENTO,CA95824",http://maps.google.com/maps?q=5800 STOCKTON BLVD  SACRAMENTO CA 95824,Business,916-422-8198   ,,,,,,,,,,,CA3400352-ACORN MOBILE VILLAGE,,,,,,,,,,,,,,LPA64 - SACRAMENTO COUNTY,"
   
	
	  
      916-875-8550   
   	 
     
    ",EMDInfo@saccounty.net ,"10590 Armstrong Ave 

    
    MATHER 
    CA 95655"
CA1900904   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2406&tinwsys_st_code=CA&wsnumber=CA1900904   ,"Fire Station 60

	
	

	
    
    
    

	SIGNAL HILL,CA90755",http://maps.google.com/maps?q=Fire Station 60  SIGNAL HILL CA 90755,Business,562-988-3625   ,,,,,,,,,,,CA1900904-ACTON CONSERVATION CAMP #11,,,,,,,,,,,,,,DISTRICT 16 - CENTRAL,"
   
	
	  
      818-551-2004   
   	 
     
    ",,"500 N. Central Ave. Suite 500 

    
    GLENDALE 
    CA 91203"
CA1900894   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2402&tinwsys_st_code=CA&wsnumber=CA1900894   ,"PO BOX 100

	
	

	
    
    
    

	ACTON,CA93510-0000",http://maps.google.com/maps?q=PO BOX 100  ACTON CA 93510-0000,,,,,,,,,,,,,CA1900894-ACTON FOUR SQUARE CHURCH,,Business,661-269-0400   ,,,,,,,,,,,LPA49 - LA COUNTY,"
   
	
	  
      626-430-5420   
   	 
     
    ",waterquality@ph.lacounty.gov ,"5050 Commerce Drive 

    
    BALDWIN PARK 
    CA 91706"
CA1900092   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2208&tinwsys_st_code=CA&wsnumber=CA1900092   ,"7601 SOLEDAD CANYON RD

	
	

	
    
    
    

	ACTON,CA93510-2225",http://maps.google.com/maps?q=7601 SOLEDAD CANYON RD  ACTON CA 93510-2225,,,,,,,,,,,,,CA1900092-ACTON LA NORTH KOA,,,,,,,,,,,,,,LPA49 - LA COUNTY,"
   
	
	  
      626-430-5420   
   	 
     
    ",waterquality@ph.lacounty.gov ,"5050 Commerce Drive 

    
    BALDWIN PARK 
    CA 91706"
CA1907004   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2440&tinwsys_st_code=CA&wsnumber=CA1907004   ,"P.O.BOX 519

	
	

	
    
    
    

	WRIGHTWOOD,CA92397",http://maps.google.com/maps?q=P.O.BOX 519  WRIGHTWOOD CA 92397,,,,,,,,,,,,,CA1907004-ACTON-AGUA DULCE LDS CHURCH,,,,,,,,,,,,,,LPA49 - LA COUNTY,"
   
	
	  
      626-430-5420   
   	 
     
    ",waterquality@ph.lacounty.gov ,"5050 Commerce Drive 

    
    BALDWIN PARK 
    CA 91706"
CA1000650   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=15018&tinwsys_st_code=CA&wsnumber=CA1000650   ,"1203 Montgomery Lane

	
	

	
    
    
    

	TRACY,CA95377",http://maps.google.com/maps?q=1203 Montgomery Lane  TRACY CA 95377,Business,209-814-9499   ,,,,,,,,,,,CA1000650-ADAM'S MARKET,,,,,,sunnyca21@yahoo.com,,,,,,,,DISTRICT 23 - FRESNO,"
   
	
	  
      559-447-3300   
   	 
     
    ",,"265 W. BULLARD AVE., SUITE 101 

    
    FRESNO 
    CA 93704"
CA0605012   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=14676&tinwsys_st_code=CA&wsnumber=CA0605012   ,"7301 John Galt Way

	
	

	
    
    
    

	ARBUCKLE,CA95912",http://maps.google.com/maps?q=7301 John Galt Way  ARBUCKLE CA 95912,Business,530-668-2030   ,,,,,,,,,,,CA0605012  - ADAM'S VEGETABLE OILS,,Business,530-668-2005   ,,,,,,,,,,,DISTRICT 21 - VALLEY,"
   
	
	  
      530-224-4800   
   	 
     
    ",dwpdist21@waterboards.ca.gov ,"364 Knollcrest Dr., Suite 101 

    
    REDDING 
    CA 96002"
CA3690005   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=3872&tinwsys_st_code=CA&wsnumber=CA3690005   ,"11600 AIR EXPRESSWAY

	
	

	
    
    
    

	ADELANTO,CA92301",http://maps.google.com/maps?q=11600 AIR EXPRESSWAY  ADELANTO CA 92301,Business,760-246-2300   EXT. 3016 ,,,,,,,,,,,CA3690005-ADELANTO PUBLIC UTILITY AUTHOR,,,,,,,,,,,,,,DISTRICT 13 - SAN BERNARDINO,"
   
	
	  
      909-383-4328   
   	 
     
    ",,"464 W. 4TH STREET ROOM 437 

    
    SAN BERNARDINO 
    CA 92401"
CA3610001   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=3765&tinwsys_st_code=CA&wsnumber=CA3610001   ,"11600 AIR EXPRESSWAY

	
	

	
    
    
    

	ADELANTO,CA92301",http://maps.google.com/maps?q=11600 AIR EXPRESSWAY  ADELANTO CA 92301,Business,760-246-2300   ,,,,,,,,,,,CA3610001-CITY OF ADELANTO,,,,,,www.ci.adelanto.ca.us,,,,,,,,DISTRICT 13 - SAN BERNARDINO,"
   
	
	  
      909-383-4328   
   	 
     
    ",,"464 W. 4TH STREET ROOM 437 

    
    SAN BERNARDINO 
    CA 92401"
CA3400429   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=7767&tinwsys_st_code=CA&wsnumber=CA3400429   ,"8649 KEIFER BLVD

	
	

	
    
    
    

	SACRAMENTO,CA95826",http://maps.google.com/maps?q=8649 KEIFER BLVD  SACRAMENTO CA 95826,Business,916-388-7435   ,,,,,,,,,,,CA3400429-ADESA OF SACRAMENTO,,,,,,,,,,,,,,LPA64 - SACRAMENTO COUNTY,"
   
	
	  
      916-875-8550   
   	 
     
    ",EMDInfo@saccounty.net ,"10590 Armstrong Ave 

    
    MATHER 
    CA 95655"
